करिव ५० लाख युवा अहिले पनि भारतलगायत् खाडी मुलुकसहित विश्वभर रोजगारीका लागि अलमलिएका छन्।	-1
दैनिक एक हजार सात सय भन्दा युवाशक्ति श्रमका लागि मुलुक छाडिरहेका छन्।	-1
राजनीतिप्रति उसको वितृष्णा बढिरहेको छ।	0
यो सरल देखिन्छ तर यसले निम्त्याउने जोखिम भयानक छन्।	-1
राज्यका लागि दक्ष शक्ति मुलुक छाडेर जानुले विकासका काममात्र होइन हाम्रो समृद्ध मुलुक बनाउने चाहना पनि कमजोर बन्दै जान्छ।	-1
लाखौं युवा मुलुकभित्र बेरोजगारीको समस्यामा भौतारिइरहेका छन्।	-1
नेपाली युवाको भविष्य निर्धारण युवा आन्दोलनको सही प्रयोग र समुन्नत नेपालको कल्पनाका लागि युवा अभियानलाई तीव्रता दिनु आवश्यक छ।	0
युवा अब आन्दोलनमा मात्र सीमित नभएर व्यावहारिक क्षेत्र र आउने युवा पिढीका लागि गतिलो नजिर बन्न सक्नुपर्ने योजना तर्जुमा सहित कार्यान्वयनको पाटो बलियो हुनुपर्छ।	1
जसले आफ्नै मुलुकमा अवसरको प्रचुर सम्भावनाको विकास होस् र नयाँ पुस्ताले अघिल्लो पुस्ताका युवालाई गलत सावित गर्न नपाऊन्।	1
लेखक युवा संघ नेपालका महासचिव हुन्।	0
अनिर्णयको बन्दीमा देश फसेको छ।	-1
राजनीतिक शक्ति बहुकेन्द्रहरुमा ध्रुवीकृत हुनु यसको कारण होे।	0
परिस्थितिले ती शक्तिलाई एउटा केन्द्रमा ध्रुवीकरण नगरेसम्म देश यस्तै गोलचक्करमा परिरहन्छ।	-1
जिम्मेवार दलका नेतृत्वले सबै वर्ग र समुदायको भावना र आकांक्षालाई सम्बोधन गर्न असफल हुनुको कारण नै ती विभिन्न शक्ति निर्माण भए।	-1
यो क्रम अझै जारी छ।	0
यसले गर्दा यहाँ कसैले न कसैलाई निषेध गर्न सक्छ न निर्णायकरूपले अगाडि बढ्न सक्छ।	0
राष्ट्रिय सहमति मात्रै अगाडि बढ्ने एकमात्र विकल्प हुँदाहँुदै पनि जिम्मेवार दलहरुले मुलुकलाई निकास दिनका लागि राजनीतिक कौशलता प्रदर्शन गर्न सकिरहेको छैन।	0
हरेक दलले सत्तालाई मात्र अर्जुन-दृष्टि लगाएका हँुदा यसको अन्य घातक सम्भावित परिणाम दृष्टिगोचर गर्न भ्याएका छैनन्।	0
दलहरुले आफ्नोजीवन-मरण कुर्सीमै देखेका छन्।	0
मुलुक सरकार पक्ष र विपक्षीबीचको टकरावमा छ।	0
यो सरकार हट्नुपर्छ भन्ने विपक्षीको माग र अर्को पक्ष यही सरकारको निरन्तरता हुनुपर्छ भन्ने जीकिरमा लागेकाले सहमतिमा ढिलाइ भइरहेकोछ।	-1
हुन पनि यो सरकार यस्तो परिवेशमा छ कि यसलाई हटाउने र टिकाउनेमा सबैको मत बाझिन सक्छ।	0
जसले जसरी स्वार्थअनुकूल व्याख्या गरे पनि हुन्छ।	0
यसो भएको हुँदा यो सरकारलाई कानुनी प्रकृयाबाट हटाउने आधार भेट्टाउन सकिन्न।	0
